31,14,05780,8-14-05780,2021-11-16,BT22K,-,7748,650,321594,32-5-60-0090-00,ØÍ,64300949RA51,1,10,"ËÈÑÒÛ, ÏËÈTÛ",770,algorithm,1,f,20,f
32,45,12011,9-45-12011,2021-11-16,TI6AL4V,M5-8,8747,770,320252,32-5-60-0100-00,ÈË 129-1,-,,,-,870,algorithm,2,t,25,t
33,31,07877,9-31-07877,2021-11-16,BT8,K,7746,690,320469,32-5-60-0101-00,ÑÒÎ 05-038,-,,,-,770,algorithm,2,t,25,t
34,39,09641,8-39-09641,2021-11-16,3M,Ï,7768,650,321222,32-5-60-0104-00,ØÍ,643318144TOM,1,1,ÄÈCK 1ÄTO/694,770,algorithm,1,f,25,f
35,07,05442,8-07-05442,2021-11-15,TA6V,M5-7,7060,650,320507,32-5-60-0109-00,1187-0,28021210TJG,1,1,09001,705,algorithm,1,f,25,f
36,27,12641,8-27-12641,2021-11-15,OT4ËM,-,8720,770,320507,32-5-60-0110-00,ØÍ,64302145RA51,1,12,01005,870,algorithm,2,t,32,f
37,18,08951,8-18-08951,2021-11-15,GRADE2,(6120FPLATE)M2-4,9280,650,321427,32-5-60-0111-01,945-6,84069129TVY,26,2,GRADE26,920,algorithm,1,f,30,f
38,22,07100,8-22-07100,2021-11-15,TA6V,M5-8,1041,920,320507,32-5-60-0113-01,ÈË85-32,2503737TLS,6,7,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,1000,algorithm,2,t,37,t
39,44,10393,8-44-10393,2021-11-15,TA6V,M5-8,7768,650,320994,32-5-60-0118-01,1155-3,1562606TKU,33,2,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,770,algorithm,1,f,20,f
40,05,10713,8-05-10713,2021-11-15,TI-6AL-4V,M5-7,9281,650,321341,32-5-60-0127-01,1092-3,84054232TRD,22,5,6AL-4V,920,algorithm,1,f,30,f
41,45,12010,8-45-12010,2021-11-15,BT20KÏ,-,8747,770,320252,32-5-60-0128-01,ØÍ,64325623RU52,27,166,"ØTAMÏOBKÈ 3Ø-587Á 2TÃ-126, 2TÃ-127 ",870,algorithm,2,t,25,t
42,44,10393,8-44-10393,2021-11-15,TA6V,M5-8,7768,650,321801,32-5-60-0129-01,1155-3,1562606TKU,33,2,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,770,algorithm,1,f,20,f
43,05,10714,8-05-10714,2021-11-15,GRADE2,(6120FPLATE)M2-4,9281,650,321602,32-5-60-0130-01,945-6,84069129TVY,26,2,GRADE26,920,algorithm,1,f,30,f
44,20,04628,8-20-04628,2021-11-15,TI6AL4VELI,M5-2N,6762,650,321531,32-5-60-0132-01,995-13,84054120TDD,43,3,"ØTAMÏOBKÈ 3Ø-587Á 2TÃ-126, 2TÃ-127 ",670,algorithm,1,f,25,f
45,07,05441,8-07-05441,2021-11-15,TIAL6V4,M5-7,7763,650,320507,32-5-60-0133-01,903-7,28021206TJG,11,28,09001,770,algorithm,1,f,25,f
46,20,04628,8-20-04628,2021-11-15,TI6AL4VELI,M5-2N,6762,650,321531,32-5-60-0134-01,995-13,84054120TDD,43,3,"ØTAMÏOBKÈ 3Ø-587Á 2TÃ-126, 2TÃ-127 ",670,algorithm,1,f,25,f
47,44,10393,8-44-10393,2021-11-15,TA6V,M5-8,7768,650,321801,32-5-60-0138-01,1155-3,1562606TKU,33,2,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,770,algorithm,1,f,20,f
48,37,06950,8-37-06950,2021-11-15,TI-6AL-4V,Ä3 M5-10,6785,650,321672,32-5-60-0139-01,ÈË107-18,82620192TRR,1,1,3ØTKO-700,670,algorithm,1,f,25,f
49,22,07100,8-22-07100,2021-11-15,TA6V,M5-8,1041,920,320507,32-5-60-0141-01,ÈË85-32,2503737TLS,6,7,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,1000,algorithm,2,t,37,t
50,45,12010,8-45-12010,2021-11-15,BT20KÏ,-,8747,770,320252,32-5-60-0146-01,ØÍ,64325623RU52,27,166,"ØTAMÏOBKÈ 3Ø-587Á 2TÃ-126, 2TÃ-127 ",870,algorithm,2,t,25,t
51,42,09908,8-42-09908,2021-11-15,GR2,M2-3,7787,670,321547,32-5-60-0150-01,1039-4,28029116TVY,34,2,6AL-4V,770,algorithm,2,t,37,f
52,42,09908,8-42-09908,2021-11-15,GR2,M2-3,7787,670,321547,32-5-60-0151-01,1039-4,28029116TVY,34,2,6AL-4V,770,algorithm,2,t,37,f
53,42,09908,8-42-09908,2021-11-15,GR2,M2-3,7787,670,321547,32-5-60-0578-96,1039-4,28029116TVY,34,2,6AL-4V,770,algorithm,2,t,37,f
54,39,09639,8-39-09639,2021-11-15,3MK,-,7770,650,321222,32-5-60-0643-96,ØÍ,057TOM,101,1,"ØTAMÏOBKÈ 3Ø-587Á 2TÃ-126, 2TÃ-127 ",770,algorithm,1,f,25,f
55,42,09908,8-42-09908,2021-11-15,GR2,M2-3,7787,670,321547,32-5-60-0673-96,1039-4,28029116TVY,34,2,6AL-4V,770,algorithm,2,t,37,f
56,23,07401,9-23-07401,2021-11-15,BT3-1,ÃÄ3,7740,690,320826,32-5-60-0687-96,ÑÒÎ 05-038,-,,,-,770,algorithm,2,t,12,f
57,05,10714,8-05-10714,2021-11-15,GRADE2,(6120FPLATE)M2-4,9281,650,321602,32-5-60-0714-96,945-6,84069129TVY,26,2,GRADE26,920,algorithm,1,f,30,f
58,42,09908,8-42-09908,2021-11-15,GR2,M2-3,7787,670,321547,32-5-60-0763-96,1039-4,28029116TVY,34,2,6AL-4V,770,algorithm,2,t,37,f
59,27,12641,8-27-12641,2021-11-15,OT4ËM,-,8720,770,320507,32-5-60-0767-96,ØÍ,64302145RA51,1,12,01005,870,algorithm,2,t,32,f
60,05,10714,8-05-10714,2021-11-15,GRADE2,(6120FPLATE)M2-4,9281,650,321602,32-5-60-0768-96,945-6,84069129TVY,26,2,GRADE26,920,algorithm,1,f,30,f
61,41,11990,8-41-11990,2021-11-15,TI-6AL-4V,Ä3 M5-10,7741,670,321752,32-5-60-0770-96,ÈË107-18,-,,-,3ØTKO-700,770,algorithm,2,f,25,f
62,13,05523,8-13-05523,2021-11-15,TIAL6V4,M5-7,7761,650,321594,32-5-60-0772-96,903-7,28021206TJG,11,26,09001,770,algorithm,1,f,25,f
63,38,05715,8-38-05715,2021-11-15,TI-6AL-2SN-4ZR-2MO,-,6761,650,321672,32-5-60-0798-97,ÈË160-4,84054238TRD,21,20,3ØTKO-700,670,algorithm,1,f,20,f
64,44,10393,8-44-10393,2021-11-15,TA6V,M5-8,7768,650,321801,32-5-60-0807-97,1155-3,1562606TKU,33,2,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,770,algorithm,1,f,20,f
65,41,11990,8-41-11990,2021-11-15,TI-6AL-4V,Ä3 M5-10,7741,670,321752,32-5-60-0816-97,ÈË107-18,-,,-,3ØTKO-700,770,algorithm,2,f,25,f
